ERROR: logging before google.Init: I0803 09:25:09.807763       1 resolver.go:85] Model ID Gemini 3.1 Pro (High) not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0803 09:25:09.807854       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0803 09:25:09.807884      52 server.go:1418] Starting language server process with pid 6455
ERROR: logging before google.Init: I0803 09:25:09.808268      52 server.go:1468] Language server version: 1.1.10
ERROR: logging before google.Init: I0803 09:25:09.808275      52 server.go:546] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0803 09:25:09.808893      52 server.go:561] Language server listening on random port at 49779 for HTTPS (gRPC)
ERROR: logging before google.Init: I0803 09:25:09.809055      52 server.go:569] Language server listening on random port at 49780 for HTTP
ERROR: logging before google.Init: E0803 09:25:10.408672      31 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:25:10.408858      31 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0803 09:25:10.411957      52 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412023      52 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.412129      52 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412158      52 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.412443      52 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412469      52 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.412519      52 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412539      52 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.412611      52 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412631      52 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.412680      52 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.412702      52 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.413560      52 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0803 09:25:10.413692      91 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.413728      91 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.414503      52 defaults.go:735] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0803 09:25:10.415023      52 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0803 09:25:10.422323      52 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.422369      52 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.422449      52 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.422469      52 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.422658     119 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.422698     119 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:25:10.422752     119 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:25:10.422775     119 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:25:10.423561     123 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0803 09:25:10.423597     123 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
