ERROR: logging before google.Init: I0803 09:24:10.214359       1 resolver.go:85] Model ID Gemini 3.1 Pro (High) not in local config, defaulting to CCPA
ERROR: logging before google.Init: I0803 09:24:10.214445       1 resolver.go:111] Model resolved via default
ERROR: logging before google.Init: I0803 09:24:10.214516      39 server.go:1418] Starting language server process with pid 6416
ERROR: logging before google.Init: I0803 09:24:10.215794      39 server.go:1468] Language server version: 1.1.10
ERROR: logging before google.Init: I0803 09:24:10.215801      39 server.go:546] Language server will attempt to listen on host localhost
ERROR: logging before google.Init: I0803 09:24:10.216714      39 server.go:561] Language server listening on random port at 49755 for HTTPS (gRPC)
ERROR: logging before google.Init: I0803 09:24:10.216980      39 server.go:569] Language server listening on random port at 49756 for HTTP
ERROR: logging before google.Init: E0803 09:24:10.814401      62 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.814909      62 model_configs.go:59] Auth mode is unspecified, skipping fetchAvailableModels and returning empty response
ERROR: logging before google.Init: W0803 09:24:10.821686      39 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.821850      39 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.822312      39 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.822408      39 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.823193      39 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.823269      39 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.823614      39 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.823769      39 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.823895      39 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.823928      39 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.824007      39 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.824030      39 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.825682      39 launchmanager.go:69] Entering local chrome mode! This is WRONG unless you are running tests or in eval mode on Linux.
ERROR: logging before google.Init: W0803 09:24:10.826534     136 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.828142     136 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.828448      39 defaults.go:735] failed to get cs path: cs path /usr/bin/cs invalid
ERROR: logging before google.Init: I0803 09:24:10.828589      39 manager.go:98] Creating trajectory store manager with proto store and SQLite store
ERROR: logging before google.Init: W0803 09:24:10.837933      39 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.837978      39 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.838069      39 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.838096      39 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.838265      75 cache.go:56] Cache(loadCodeAssistResponse): Singleflight refresh failed: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.838311      75 errorreport.go:223] error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: W0803 09:24:10.838385      75 cache.go:56] Cache(userInfo): Singleflight refresh failed: failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: E0803 09:24:10.838410      75 errorreport.go:223] failed to get load code assist response: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.839490      80 manager.go:75] Migration [MIGRATION_ID_SIDECAR_USER_CONFIG_BYPASS] is disabled, skipping entirely
ERROR: logging before google.Init: I0803 09:24:10.839531      80 manager.go:78] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] is enabled
ERROR: logging before google.Init: I0803 09:24:10.839572      80 manager.go:87] Migration [MIGRATION_ID_SANITY_CHECK_PROJECT_URIS] already has status MIGRATION_STATUS_COMPLETED, skipping
ERROR: logging before google.Init: I0803 09:24:10.845133      39 server.go:2702] Auth succeeded, refreshing features and managers
ERROR: logging before google.Init: E0803 09:24:10.845202      39 errorreport.go:223] Failed to poll ListExperiments: error getting token source: You are not logged into Antigravity.
ERROR: logging before google.Init: I0803 09:24:10.845255      39 server.go:2708] State refresh took 0ms
ERROR: logging before google.Init: I0803 09:24:10.845275      39 server.go:2718] [RemoteControl] Subscription callback triggered.
ERROR: logging before google.Init: I0803 09:24:10.845282      39 server.go:2720] [RemoteControl] RemoteControlEnabled value: false
ERROR: logging before google.Init: I0803 09:24:10.845288      39 server.go:2858] [RemoteControl] Resolved proxyServerURL: ""
